title,body,labels,assignees
Mention technologies we might use.,"**Status:** complete
**Due Date:** nan

---
nan",complete,
Section 1.4 – Related Systems Analysis,"**Status:** to do
**Due Date:** nan

---
nan",to do,
Format according to the template.,"**Status:** complete
**Due Date:** nan

---
nan",complete,
Identify at least 4 potential risks.,"**Status:** to do
**Due Date:** nan

---
nan",to do,
Describe the real-world problem in detail (not just lack of software).,"**Status:** to do
**Due Date:** nan

---
nan",to do,
Ensure consistency and correct formatting.,"**Status:** to do
**Due Date:** nan

---
nan",to do,
Final Review & Submission,"**Status:** to do
**Due Date:** nan

---
nan",to do,
List features to adopt and avoid.,"**Status:** to do
**Due Date:** nan

---
nan",to do,
Match project specifications with project domain,"**Status:** complete
**Due Date:** 8/13/2025, 4:00:00 AM GMT+2

---
nan",complete,
"Include name, platform, description, screenshot(s), and references.","**Status:** to do
**Due Date:** nan

---
nan",to do,
Conduct a brief literature review.,"**Status:** to do
**Due Date:** nan

---
nan",to do,
